tconst,year,budget
tt0125022,2001,35000000
tt0125439,1999,42000000
tt0125454,1998,23000000
tt0125664,1999,82000000
tt0125971,1999,7000000
tt0126029,2001,60000000
tt0126250,1999,10000000
tt0126886,1999,25000000
tt0126916,1999,80000000
tt0127536,1998,30000000
tt0128214,1997,300000
tt0128239,1999,30000000
tt0128278,1999,80000000
tt0128445,1998,9000000
tt0128853,1998,65000000
tt0129136,1998,6000000
tt0129167,1999,70000000
tt0129280,1999,75000000
tt0129290,1998,90000000
tt0129332,1999,12000000
tt0129387,1998,23000000
tt0130018,1998,65000000
tt0130121,1999,75000000
tt0130623,2000,127500000
tt0131325,1999,55000000
tt0131369,1999,80000000
tt0131646,1999,30000000
tt0131704,2000,76000000
tt0132245,2001,94000000
tt0132347,1999,68000000
tt0132477,1999,25000000
tt0132512,1999,60000000
tt0133046,1999,13000000
tt0133093,1999,63000000
tt0133152,2001,100000000
tt0133240,2002,140000000
tt0133412,1999,7000000
tt0133751,1998,15000000
tt0133952,1998,70000000
tt0134067,1998,24000000
tt0134084,2000,40000000
tt0134119,1999,40000000
tt0134154,1999,38000000
tt0134273,1999,40000000
tt0134618,1999,28000000
tt0134630,2000,21000000
tt0134847,2000,23000000
tt0134983,2000,90000000
tt0136244,1998,12000000
tt0137338,1999,6000000
tt0137363,1999,31000000
tt0137494,1999,66000000
tt0137523,1999,63000000
tt0138097,1998,25000000
tt0138304,1999,75000000
tt0138510,1999,25000000
tt0138749,2000,95000000
tt0138862,1998,3500000
tt0138946,2000,24000000
tt0139134,1999,10500000
tt0139239,1999,20000000
tt0139414,1999,35000000
tt0139462,1999,80000000
tt0139668,1999,55000000
tt0139699,1999,16000000
tt0139809,1999,16000000
tt0140352,1999,90000000
tt0140379,1999,11000000
tt0140688,1998,1000000
tt0141098,1999,75000000
tt0141109,1998,85000000
tt0141369,1999,90000000
tt0141399,2000,44000000
tt0141907,2001,90000000
tt0141926,2000,62000000
tt0142192,1999,25000000
tt0142342,1999,34200000
tt0142688,1999,38000000
tt0143145,1999,135000000
tt0143746,1999,21000000
tt0144084,2000,7000000
tt0144117,1999,6000000
tt0144120,1998,25000000
tt0144142,2000,3000000
tt0144214,1999,95000000
tt0144528,2000,84000000
tt0144640,1999,20000000
tt0144814,1999,21000000
tt0144964,2000,25000000
tt0145487,2002,139000000
tt0145531,1999,29000000
tt0145653,1999,50000000
tt0145660,1999,33000000
tt0145681,1999,73000000
tt0145734,1998,20000000
tt0145893,1999,6000000
tt0146309,2000,80000000
tt0146316,2001,115000000
tt0146336,1998,14000000
tt0146675,1999,100000000
tt0146838,1999,55000000
tt0146882,2000,30000000
tt0146984,2000,80000000
tt0147800,1999,30000000
tt0149261,1999,60000000
tt0149367,2000,28000000
tt0149624,2000,57000000
tt0149691,1999,23000000
tt0150216,1999,36000000
tt0150377,1999,70000000
tt0151137,1999,85000000
tt0151738,1999,25000000
tt0151804,1999,10000000
tt0154506,1998,6000
